DataRate	RX/TX	Property Name	group	length	start index	i0	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11
					INDEX	0x00	0x01	0x02	0x03	0x04	0x05	0x06	0x07	0x08	0x09	0x0a	0x0b
1200	TX	MODEM_MOD_TYPE	0x20	0x0C	0x00	0x03	0x00	0x07	0x00	0xBB	0x80	0x05	0x8C	0xBA	0x80	0x00	0x00
2400	TX	MODEM_MOD_TYPE	0x20	0x0C	0x00	0x03	0x00	0x07	0x01	0x77	0x00	0x05	0x8C	0xBA	0x80	0x00	0x00
4800	TX	MODEM_MOD_TYPE	0x20	0x0C	0x00	0x03	0x00	0x07	0x02	0xEE	0x00	0x05	0x8C	0xBA	0x80	0x00	0x00
9600	RX	MODEM_MOD_TYPE	0x20	0x0C	0x00	0x03	0x00	0x07	0x05	0xDC	0x00	0x05	0x8C	0xBA	0x80	0x00	0x01
19200	TX	MODEM_MOD_TYPE	0x20	0x0C	0x00	0x03	0x00	0x07	0x0B	0xB8	0x00	0x05	0x8C	0xBA	0x80	0x00	0x03
38400	TX	MODEM_MOD_TYPE	0x20	0x0C	0x00	0x03	0x00	0x07	0x0B	0xB8	0x00	0x09	0x8C	0xBA	0x80	0x00	0x06
57600	TX	MODEM_MOD_TYPE	0x20	0x0C	0x00	0x03	0x00	0x07	0x11	0x94	0x00	0x09	0x8C	0xBA	0x80	0x00	0x09
76800	TX	MODEM_MOD_TYPE	0x20	0x0C	0x00	0x03	0x00	0x07	0x17	0x70	0x00	0x09	0x8C	0xBA	0x80	0x00	0x0C
115200	TX	MODEM_MOD_TYPE	0x20	0x0C	0x00	0x03	0x00	0x07	0x23	0x28	0x00	0x09	0x8C	0xBA	0x80	0x00	0x12

					INDEX	0x0c
1200	TX	MODEM_FREQ_DEV	0x20	0x01	0x0C	0x30
2400	TX	MODEM_FREQ_DEV	0x20	0x01	0x0C	0x61
4800	TX	MODEM_FREQ_DEV	0x20	0x01	0x0C	0xC2
9600	TX	MODEM_FREQ_DEV	0x20	0x01	0x0C	0x83
19200	TX	MODEM_FREQ_DEV	0x20	0x01	0x0C	0x06
38400	TX	MODEM_FREQ_DEV	0x20	0x01	0x0C	0x0D
57600	TX	MODEM_FREQ_DEV	0x20	0x01	0x0C	0x13
76800	TX	MODEM_FREQ_DEV	0x20	0x01	0x0C	0x19
115200	TX	MODEM_FREQ_DEV	0x20	0x01	0x0C	0x26

